견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,Brown,2021.01,0.3,5.0,http://www.animal.go.kr/files/shelter/2021/04/202104271004716.jpg,Y,F,N,,경상북도 경주시,0,0,5,1,1,Y
라브라도리트리버,라브라도리트리버,Black,2018.01,3.4,32.0,http://www.animal.go.kr/files/shelter/2021/05/202105111305867.jpg,Y,M,N,머리쪽 상처,강원도 원주시,1,3,32,0,1,Y
말티즈,말티즈,White,2010.01,12.2,1.5,http://www.animal.go.kr/files/shelter/2022/03/202203111803575.png,Y,F,U,"미용전, 미용후",경기도 양평군,1,12,2,1,2,Y
웰시코기펨브로크,웰시코기펨브로크,"Beige, White",2021.01,2.5,13.0,http://www.animal.go.kr/files/shelter/2023/05/202307211407757.jpg,Y,M,N,"초록색목줄하고 있고, 불안해서 그런지 많이 짖어댐",인천광역시 중구,1,2,13,0,1,Y
믹스,믹스,"Beige, Black",2021.01,0.7,1.0,http://www.animal.go.kr/files/shelter/2021/09/202110011310403.jpg,Y,F,U,2마리 동시구조,대전광역시 유성구,0,0,1,1,2,Y
요크셔테리어,요크셔테리어,"Black, Brown",2022.01,1.8,4.1,http://www.animal.go.kr/files/shelter/2023/07/202310131510984.jpg,Y,M,Y,"귀쫑긋, 코검정, 사람좋아함, 활발, 꼬리단미됨, 털상태, 부정교합",경기도 양주시,1,1,4,0,0,Y
믹스,믹스,Unknown,2019.01,2.9,20.0,http://www.animal.go.kr/files/shelter/2021/11/202112091712798.jpg,Y,M,U,주민신고로 소방대 출동포획,충청남도 예산군,0,2,20,0,2,Y
믹스,믹스,"Brown, White",2016.01,6.0,8.4,http://www.animal.go.kr/files/shelter/2021/12/202112171512110.jpg,Y,M,Y,,경기도 고양시,0,6,8,0,0,Y
푸들,푸들,Brown,2020.01,2.5,4.5,http://www.animal.go.kr/files/shelter/2022/06/202206281306323.jpg,Y,M,N,"온순함, 좌수영 약국 옆 골목에서 발견 됨, 관리상태",전라남도 여수시,1,2,4,0,1,Y
믹스,믹스,"Black, Brown",2022.01,1.2,20.0,http://www.animal.go.kr/files/shelter/2023/03/202303111603231.jpg,Y,F,U,쵸크체인 목줄 착용 얼굴만지면 입질있음,충청북도 청주시,0,1,20,1,2,Y
믹스,믹스,White,2021.01,0.9,2.42,http://www.animal.go.kr/files/shelter/2021/11/202112021212375.jpg,Y,M,N,,인천광역시 강화군,0,0,2,0,1,Y
믹스,믹스,White,2019.01,2.1,2.5,http://www.animal.go.kr/files/shelter/2021/01/20210201130257.jpg,Y,F,N,순함,충청남도 태안군,0,2,2,1,1,Y
포메라니안,포메라니안,"Brown, White",2019.01,2.7,5.0,http://www.animal.go.kr/files/shelter/2021/09/202109251209843[1].jpg,Y,M,N,롤리,광주광역시 북구,1,2,5,0,1,Y
믹스,믹스,White,2022.01,0.9,4.0,http://www.animal.go.kr/files/shelter/2022/11/202212130912534.jpg,Y,F,U,"흰색영양상태 불량, 유기된지 오래된걸로, 허약",부산광역시 강서구,0,0,4,1,2,Y
믹스,믹스,Brown,2019.01,3.1,6.9,http://www.animal.go.kr/files/shelter/2022/01/202201280901114[1].jpg,Y,F,N,,제주특별자치도 제주시,0,3,7,1,1,Y
포메라니안,포메라니안,White,2013.01,8.2,5.8,http://www.animal.go.kr/files/shelter/2020/11/20210225150250.jpg,Y,M,N,"칩있음, 기본훈련O, 배변훈련O",경기도 안산시,1,8,6,0,1,Y
스피츠,스피츠,White,2017.01,4.6,4.7,http://www.animal.go.kr/files/shelter/2021/07/20210726130700.jpeg,Y,M,Y,,강원도 원주시,1,4,5,0,0,Y
믹스,믹스,Brown,2022.01,0.4,3.2,http://www.animal.go.kr/files/shelter/2022/04/202205301705843.jpg,Y,M,N,"진드기, 기생충",경기도 파주시,0,0,3,0,1,Y
푸들,푸들,Black,2021.01,0.2,3.5,http://www.animal.go.kr/files/shelter/2021/03/202103171103364.jpg,Y,F,U,"분홍색 목줄착용, 사람따름, 낑낑거림, 꼬리단미됨",경기도 양주시,1,0,4,1,2,Y
믹스,믹스,White,2021.01,1.4,10.0,http://www.animal.go.kr/files/shelter/2022/05/202205241505614.jpg,Y,F,N,진도믹스개이며 사나운편임,전라북도 익산시,0,1,10,1,1,Y
포메라니안,포메라니안,White,2019.01,4.0,6.0,http://www.animal.go.kr/files/shelter/2022/12/202212151512228.jpg,Y,F,U,"엉덩이부분케이크자수있는 빨간누빔옷, 귀쫑긋, 활발, 사람잘따름, 오른사타구니탈장, 양슬개골심함, 칩있음",경기도 양주시,1,4,6,1,2,Y
믹스,믹스,"Black, Brown, White",2021.01,2.1,14.9,http://www.animal.go.kr/files/shelter/2023/01/202301301001976.jpg,Y,F,U,청색징목줄,제주특별자치도 제주시,0,2,15,1,2,Y
믹스,믹스,Brown,2019.01,3.8,20.0,http://www.animal.go.kr/files/shelter/2022/10/202210191710250[1].jpg,Y,F,N,"사나움, 임신",경상남도 창원시,0,3,20,1,1,Y
믹스,믹스,"Beige, White",2021.01,0.7,1.1,http://www.animal.go.kr/files/shelter/2021/09/202109301609164.jpg,Y,F,N,아기강아지,경기도 고양시,0,0,1,1,1,Y
비글,비글,"Black, Brown",2013.01,10.7,8.0,http://www.animal.go.kr/files/shelter/2023/07/202310051010170.png,Y,M,U,주인반환,대전광역시 유성구,1,10,8,0,2,Y
믹스,믹스,Black,2022.01,0.5,2.0,http://www.animal.go.kr/files/shelter/2022/04/202206161406551.jpg,Y,F,N,"박스에 담아 고의유기, 어미없음, 설사, 구토증상",경상남도 함안군,0,0,2,1,1,Y
믹스,믹스,Brown,2021.01,0.7,2.0,http://www.animal.go.kr/files/shelter/2021/09/20210928100986.jpg,Y,F,U,건강,강원도 정선군,0,0,2,1,2,Y
말티즈,말티즈,White,2016.01,5.8,2.0,http://www.animal.go.kr/files/shelter/2021/10/202110281010967.jpg,Y,F,N,진주목걸이착용,제주특별자치도 제주시,1,5,2,1,1,Y
믹스,믹스,"Black, White",2018.01,3.1,7.0,http://www.animal.go.kr/files/shelter/2020/11/202102091802302.jpg,Y,F,N,사람 잘 따르며 매우 똑똑함,충청남도 청양군,0,3,7,1,1,Y
믹스,믹스,Brown,2022.01,0.1,1.6,http://www.animal.go.kr/files/shelter/2022/01/202202071502276.jpg,Y,F,N,어미와 7마리새끼들 함께 입소,인천광역시 서구,0,0,2,1,1,Y
미니어쳐핀셔,미니어쳐핀셔,Brown,2018.01,4.1,6.0,http://www.animal.go.kr/files/shelter/2022/02/20220218140284.jpg,Y,M,Y,"웰컴, 좌측 뒷발 없음",광주광역시 북구,1,4,6,0,0,Y
믹스,믹스,Black,2022.01,0.3,1.0,http://www.animal.go.kr/files/shelter/2022/05/20220503120501.jpg,Y,Q,N,검정색털,경상북도 성주군,0,0,1,2,1,Y
믹스,믹스,Beige,2021.01,0.5,4.2,http://www.animal.go.kr/files/shelter/2021/07/202107061107674.jpg,Y,F,N,"초롱초롱한 눈빛, 까만코가 매력포인트, 사람 매우 좋아하고 순함",경상북도 예천군,0,0,4,1,1,Y
믹스,믹스,"Black, White",2021.01,0.3,13.0,http://www.animal.go.kr/files/shelter/2021/03/202104091604345.jpg,Y,F,U,"레오, 경계, 공격성",광주광역시 북구,0,0,13,1,2,Y
믹스,믹스,White,2022.01,0.9,5.9,http://www.animal.go.kr/files/shelter/2022/11/202211180911976.jpg,Y,F,N,,제주특별자치도 제주시,0,0,6,1,1,Y
요크셔테리어,요크셔테리어,"Beige, Gray",2012.01,9.2,2.0,http://www.animal.go.kr/files/shelter/2021/03/202103300703840.jpg,Y,M,U,"최근미용됨, 머리부분 고무줄로 묶임, 잘따름",전라남도 무안군,1,9,2,0,2,Y
믹스,믹스,"Brown, White",2021.01,0.0,2.0,http://www.animal.go.kr/files/shelter/2020/11/202101011701330.jpg,Y,M,N,변,전라북도 전주시,0,0,2,0,1,Y
믹스,믹스,"Black, Brown",2016.01,7.6,18.0,http://www.animal.go.kr/files/shelter/2023/07/202308211808921.png,Y,M,U,주인반환,대전광역시 유성구,0,7,18,0,2,Y
라브라도리트리버,라브라도리트리버,Beige,2019.01,2.6,20.0,http://www.animal.go.kr/files/shelter/2021/08/20210817170896.jpg,Y,F,U,"상태 깨끗함, 온순하고 차분한 편, 돌아다닌걸 본지 몇일 되었다고 함",경상북도 포항시,1,2,20,1,2,Y
믹스,믹스,"Black, Gray",2020.01,1.6,4.9,http://www.animal.go.kr/files/shelter/2021/07/202107311407483.jpg,Y,F,U,"사고견, 파랑갈색 목걸이, 구강출혈흔적, 송곳니 영구치나는중, 소심, 겁있음, 여윔",경기도 양주시,0,1,5,1,2,Y
믹스,믹스,White,2022.01,0.4,3.0,http://www.animal.go.kr/files/shelter/2022/04/202205301005461.jpg,Y,F,U,온순,충청남도 홍성군,0,0,3,1,2,Y
진도,진도,White,2016.01,6.3,24.0,http://www.animal.go.kr/files/shelter/2022/04/202205042005960.jpg,Y,M,N,목줄착용,강원도 원주시,1,6,24,0,1,Y
믹스,믹스,"Brown, White",2013.01,8.0,6.0,http://www.animal.go.kr/files/shelter/2020/11/202012291812554.jpeg,Y,M,U,,경상남도 거창군,0,8,6,0,2,Y
셔틀랜드쉽독,셔틀랜드쉽독,"Brown, White",2021.01,0.1,1.5,http://www.animal.go.kr/files/shelter/2020/11/202101211101593.jpg,Y,F,N,눈이 작음,경상북도 구미시,1,0,2,1,1,Y
스피츠,스피츠,White,2020.01,2.9,5.0,http://www.animal.go.kr/files/shelter/2022/11/202211292211803.jpg,Y,F,N,작고순하며 이쁘게생겼음,전라북도 익산시,1,2,5,1,1,Y
올드잉글리쉬쉽독,올드잉글리쉬쉽독,"Gray, White",2022.01,1.1,17.3,http://www.animal.go.kr/files/shelter/2023/01/202302101602422.jpg,Y,F,U,"귀접힘, 코검정, 오드아이, 사람잘따름, 꼬리단미안됨, 털상태, 좌후지파행",경기도 양주시,1,1,17,1,2,Y
퍼그,퍼그,Black,2021.01,2.6,5.0,http://www.animal.go.kr/files/shelter/2023/07/202308172108184.jpg,Y,M,N,갈색목태을하고있고 순하고잘따름,전라북도 익산시,1,2,5,0,1,Y
코카스파니엘,코카스파니엘,Ivory,2017.01,5.8,13.0,http://www.animal.go.kr/files/shelter/2022/11/202211081211438.jpg,Y,M,Y,순함,인천광역시 계양구,1,5,13,0,0,Y
핏불테리어,핏불테리어,Black,2019.01,4.0,10.0,http://www.animal.go.kr/files/shelter/2022/12/202212251112770.jpg,Y,M,N,"목에서 가슴쪽 흰색, 목줄착용",강원도 원주시,1,4,10,0,1,Y
믹스,믹스,Ivory,2022.01,0.2,5.0,http://www.animal.go.kr/files/shelter/2022/02/20220302150354.jpg,Y,M,U,8마리 함께 구조,강원도 홍천군,0,0,5,0,2,Y
