견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,Black,2021.01,0.2,1.0,http://www.animal.go.kr/files/shelter/2021/01/202103111803762.jpg,Y,M,N,1닳애기,경기도 하남시,0,0.2,1.0,0,1,Y
진도,진도,White,2022.01,1.0,4.0,http://www.animal.go.kr/files/shelter/2022/12/202212171512627.jpg,Y,F,N,-366 동시구조,대전광역시 유성구,1,1.0,4.0,1,1,Y
믹스,믹스,Ivory,2021.01,0.0,1.0,http://www.animal.go.kr/files/shelter/2020/11/202101041001421[1].jpg,Y,F,N,"1차접종, 구충, 서구호",부산광역시 강서구,0,0.0,1.0,1,1,Y
말티즈,말티즈,White,2020.01,2.0,3.0,http://www.animal.go.kr/files/shelter/2022/01/202201181801153.jpg,Y,F,N,문의사항 구리시청 산업지원과 -2315로 문의 바랍니다,경기도 양주시,1,2.0,3.0,1,1,Y
스피츠,스피츠,White,2019.01,3.6,6.0,http://www.animal.go.kr/files/shelter/2022/07/20220808220810.jpg,Y,F,N,겁이약간있고 순한편임,전라북도 익산시,1,3.6,6.0,1,1,Y
믹스,믹스,White,2018.01,3.0,25.0,http://www.animal.go.kr/files/shelter/2020/11/202012180912689.jpg,Y,M,N,순하다,전라북도 김제시,0,3.0,25.0,0,1,Y
불독,불독,White,2019.01,2.1,10.0,http://www.animal.go.kr/files/shelter/2021/01/202102041502147.jpg,Y,M,Y,사람을 잘따르고 순하다 동그라미달린 색목줄 착용,경기도 화성시,1,2.1,10.0,0,0,Y
포메라니안,포메라니안,Ivory,2015.01,7.5,3.2,http://www.animal.go.kr/files/shelter/2022/04/202206161906672.jpg,Y,M,N,"약간경계심, 건강한편, 치석많음",울산광역시 남구,1,7.5,3.2,0,1,Y
믹스,믹스,White,2021.01,0.1,1.0,http://www.animal.go.kr/files/shelter/2021/01/202101241801811.jpg,Y,M,N,코에있는 무늬가 매력적인 귀염둥이,전라북도 완주군,0,0.1,1.0,0,1,Y
믹스,믹스,"Brown, White",2021.01,0.7,10.0,http://www.animal.go.kr/files/shelter/2021/09/202109271709816.jpg,Y,M,N,순함,경상남도 진주시,0,0.7,10.0,0,1,Y
믹스,믹스,"Black, Gray",2023.01,0.2,8.6,http://www.animal.go.kr/files/shelter/2023/03/202303271803488.png,Y,F,N,몸통 검정색에 얼굴 회색의 귀여운 여자,경기도 시흥시,0,0.2,8.6,1,1,Y
진도,진도,Ivory,2020.01,3.6,20.0,http://www.animal.go.kr/files/shelter/2023/05/202307221107732.jpg,Y,M,N,"녹색 목띠착용, 온순함",경기도 여주시,1,3.6,20.0,0,1,Y
믹스,믹스,"Brown, Gray",2022.01,0.8,4.3,http://www.animal.go.kr/files/shelter/2022/09/202210181010733.jpg,Y,F,N,"회갈색, 사람을 너무 좋아하는 시고르자브종애교도 많고 귀여운 공주님공고중입양가능",경상남도 창원시,0,0.8,4.3,1,1,Y
믹스,믹스,Brown,2020.01,1.0,4.0,http://www.animal.go.kr/files/shelter/2021/01/202101121701959.jpg,Y,M,N,"22, 23, 24, 25, 26 함께구조",충청북도 충주시,0,1.0,4.0,0,1,Y
믹스,믹스,White,2021.01,2.3,20.0,http://www.animal.go.kr/files/shelter/2023/04/202304121604833.jpg,Y,M,N,초록색 목줄,경기도 수원시,0,2.3,20.0,0,1,Y
믹스,믹스,White,2022.01,0.2,9.0,http://www.animal.go.kr/files/shelter/2022/02/202202252002403.png,Y,M,N,피부질환,전라북도 남원시,0,0.2,9.0,0,1,Y
믹스,믹스,"Black, White",2023.01,0.0,1.0,http://www.animal.go.kr/files/shelter/2022/12/202301131701640.jpg,Y,M,N,순하고 귀여움,충청남도 태안군,0,0.0,1.0,0,1,Y
말티즈,말티즈,White,2023.01,0.2,3.0,http://www.animal.go.kr/files/shelter/2023/03/202303171803418.jpg,Y,M,Y,뿡이,광주광역시 북구,1,0.2,3.0,0,0,Y
믹스,믹스,"Beige, Brown",2018.01,3.6,7.5,http://www.animal.go.kr/files/shelter/2021/08/202108221208404.jpg,Y,M,N,"빨간 목줄 착용, 경계가 심함",경기도 남양주시,0,3.6,7.5,0,1,Y
믹스,믹스,"Black, White",2022.01,0.1,9.0,http://www.animal.go.kr/files/shelter/2022/02/202202191002265.jpg,Y,M,N,"등에 검색 큰 무늬, 순함",경기도 안산시,0,0.1,9.0,0,1,Y
푸들,푸들,Brown,2018.01,5.3,3.9,http://www.animal.go.kr/files/shelter/2023/05/202305081105536.jpg,Y,M,Y,"칩 있음, 미용 되어있음, 순함, 향기남",인천광역시 서구,1,5.3,3.9,0,0,Y
푸들,푸들,Black,2021.01,2.6,4.0,http://www.animal.go.kr/files/shelter/2023/07/202308071108153.jpg,Y,M,Y,건강함,강원도 삼척시,1,2.6,4.0,0,0,Y
푸들,푸들,Brown,2015.01,8.3,3.3,http://www.animal.go.kr/files/shelter/2023/03/202304031504794[1].jpg,Y,M,N,,충청남도 아산시,1,8.3,3.3,0,1,Y
진도,진도,Brown,2022.01,0.5,5.0,http://www.animal.go.kr/files/shelter/2022/04/202207111107519.jpg,Y,F,N,온순하고 활발함,경상북도 구미시,1,0.5,5.0,1,1,Y
믹스,믹스,"Black, Brown",2021.01,0.5,1.2,http://www.animal.go.kr/files/shelter/2021/07/202107091007632.png,Y,F,N,525번의 자견,경상북도 경주시,0,0.5,1.2,1,1,Y
믹스,믹스,White,2022.01,1.5,10.6,http://www.animal.go.kr/files/shelter/2023/05/202306171706969.jpeg,Y,F,Y,"두마리 함께 발견, 온순함",강원도 강릉시,0,1.5,10.6,1,0,Y
믹스,믹스,Beige,2023.01,0.7,1.5,http://www.animal.go.kr/files/shelter/2023/07/202309051409895.jpg,Y,F,N,"형제3, 형제견들과 같이 포획됨, 눈꼽 꼈있으나 건강해",전라북도 부안군,0,0.7,1.5,1,1,Y
믹스,믹스,White,2021.01,0.9,5.0,http://www.animal.go.kr/files/shelter/2021/11/202111261111522.jpg,Y,M,N,"사람을 잘 따름, 의견공원에 유기됨, 건강상태는 한편이나 검진 요함",전라북도 임실군,0,0.9,5.0,0,1,Y
믹스,믹스,Brown,2023.01,0.7,3.0,http://www.animal.go.kr/files/shelter/2023/07/202308282108120.jpg,Y,F,N,순하고이쁘게생겼음,전라북도 익산시,0,0.7,3.0,1,1,Y
믹스,믹스,"Black, White",2023.01,0.2,2.5,http://www.animal.go.kr/files/shelter/2023/03/202303161503935.jpg,Y,M,N,"머리의 Y자 흰색 띄가 매력인 순둥순둥한 바둑이, 양쪽다리에 피부병이 조금 있어요",경상북도 경주시,0,0.2,2.5,0,1,Y
스피츠,스피츠,White,2023.01,0.1,9.0,http://www.animal.go.kr/files/shelter/2023/01/202301231101395.jpg,Y,M,N,온순함,경상북도 영주시,1,0.1,9.0,0,1,Y
믹스,믹스,"Gray, White",2020.01,1.7,10.0,http://www.animal.go.kr/files/shelter/2021/09/202109081709262.jpg,Y,F,N,순하고 경계없음,경기도 양평군,0,1.7,10.0,1,1,Y
비숑프리제,비숑프리제,White,2018.01,3.5,5.0,http://www.animal.go.kr/files/shelter/2021/06/202107030007776.jpg,Y,F,N,털이길어엉켜져있으며 순한편임,전라북도 익산시,1,3.5,5.0,1,1,Y
믹스,믹스,"Black, Gray",2023.01,0.1,1.5,http://www.animal.go.kr/files/shelter/2023/01/202302140902477.jpg,Y,M,N,앗! 입주위에 짜장이 묻었다!! 애교넘치고 사랑스런 시고르자브종공고중입양가능,경상남도 창원시,0,0.1,1.5,0,1,Y
믹스,믹스,"Brown, White",2021.01,0.9,0.8,http://www.animal.go.kr/files/shelter/2021/11/202112121312795.jpg,Y,M,N,스피츠믹스작고순하며 이쁘게생겼음,전라북도 익산시,0,0.9,0.8,0,1,Y
