견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,White,2023.01,0.1,2.0,http://www.animal.go.kr/files/shelter/2023/01/202302080902527.jpg,Y,M,N,,제주특별자치도 제주시,0,0,2,0,1,Y
믹스,믹스,"Brown, White",2021.01,0.8,4.6,http://www.animal.go.kr/files/shelter/2021/10/202110081710591.jpg,Y,M,N,,경상남도 고성군,0,0,5,0,1,Y
말티즈,말티즈,White,2018.01,3.8,5.0,http://www.animal.go.kr/files/shelter/2021/10/202110211610617.jpg,Y,F,U,미용,대전광역시 유성구,1,3,5,1,2,Y
믹스,믹스,Brown,2021.01,0.6,7.0,http://www.animal.go.kr/files/shelter/2022/04/202204081104315.jpg,Y,F,N,피부병 있음,경상남도 창원시,0,0,7,1,1,Y
믹스,믹스,Black,2021.01,0.5,3.0,http://www.animal.go.kr/files/shelter/2021/07/202107052307132.jpg,Y,F,N,"귀여운 깜댕이 아가들, 두마리 함께 구조",경상남도 밀양시,0,0,3,1,1,Y
믹스,믹스,Ivory,2018.01,3.5,7.0,http://www.animal.go.kr/files/shelter/2021/06/202106231506304.jpg,Y,F,N,"사람을 좋아하며, 매우온순함",경기도 여주시,0,3,7,1,1,Y
믹스,믹스,Beige,2021.01,2.1,3.0,http://www.animal.go.kr/files/shelter/2023/01/20230206190258.jpeg,Y,M,N,"믹스견, 한갈색, 약, 약 3kg, 온순함",경상남도 함양군,0,2,3,0,1,Y
말티즈,말티즈,White,2018.01,5.7,3.4,http://www.animal.go.kr/files/shelter/2023/07/202309181709359.jpg,Y,F,U,미용되어 있음,인천광역시 서구,1,5,3,1,2,Y
요크셔테리어,요크셔테리어,"Brown, White",2016.01,7.8,2.5,http://www.animal.go.kr/files/shelter/2023/07/202310022010185.jpeg,Y,F,N,앞이잘안 병원치료,경상북도 상주시,1,7,2,1,1,Y
푸들,푸들,White,2021.01,0.7,0.5,http://www.animal.go.kr/files/shelter/2021/09/202109271209586.jpg,Y,M,N,,경기도 평택시,1,0,0,0,1,Y
믹스,믹스,White,2020.01,1.3,13.0,http://www.animal.go.kr/files/shelter/2021/03/202104120804985.jpg,Y,F,U,목태,대전광역시 유성구,0,1,13,1,2,Y
푸들,푸들,Brown,2018.01,3.0,7.0,http://www.animal.go.kr/files/shelter/2021/01/202101131701714.jpg,Y,M,Y,국희,광주광역시 북구,1,3,7,0,0,Y
믹스,믹스,Beige,2022.01,0.1,1.4,http://www.animal.go.kr/files/shelter/2022/01/202202141502851.jpg,Y,M,N,"-3 아장아장 걷는게 너무 귀여움, 호기심 많고 장난꾸러기임, 공고중입양가능→입양완료",경상남도 창원시,0,0,1,0,1,Y
푸들,푸들,Brown,2017.01,4.9,5.5,http://www.animal.go.kr/files/shelter/2021/11/20211118171197.jpg,Y,M,N,녹색목띠 목줄 온순함,경상북도 구미시,1,4,6,0,1,Y
믹스,믹스,White,2021.01,0.6,1.66,http://www.animal.go.kr/files/shelter/2021/07/202108031008128.jpg,Y,F,N,공장 인근에서 배회하여 구조,경상북도 경산시,0,0,2,1,1,Y
포메라니안,포메라니안,White,2020.01,1.4,6.0,http://www.animal.go.kr/files/shelter/2021/05/202105171005422.jpg,Y,F,U,"귀가 쫑긋하고 눈가에 눈물자국이있다, 사람을 좋아한다",경기도 화성시,1,1,6,1,2,Y
믹스,믹스,"Black, Brown, White",2022.01,1.4,6.0,http://www.animal.go.kr/files/shelter/2023/05/20230515090590.jpg,Y,F,U,온순,강원도 춘천시,0,1,6,1,2,Y
믹스,믹스,Brown,2019.01,3.9,6.0,http://www.animal.go.kr/files/shelter/2022/11/202211171811170.jpg,Y,F,N,"산바위밑에서 새끼 3마리 포유중, 심장사상충 감염",강원도 강릉시,0,3,6,1,1,Y
믹스,믹스,White,2017.01,5.2,21.0,http://www.animal.go.kr/files/shelter/2022/03/202203271803504.jpg,Y,M,N,목줄없고 온순함,경기도 남양주시,0,5,21,0,1,Y
진도,진도,White,2019.01,3.0,10.0,http://www.animal.go.kr/files/shelter/2021/12/202112211112593.jpg,Y,M,U,"겁이많음, 입질있음",강원도 춘천시,1,3,10,0,2,Y
믹스,믹스,"Black, White",2018.01,4.0,8.0,http://www.animal.go.kr/files/shelter/2021/12/202112180912856.jpg,Y,M,N,칼라 목줄,대구광역시 동구,0,4,8,0,1,Y
믹스,믹스,Ivory,2021.01,2.5,23.5,http://www.animal.go.kr/files/shelter/2023/05/202307131607477.jpg,Y,M,N,"샤페이믹스견으로, 온순하고 통통함",경상남도 사천시,0,2,24,0,1,Y
믹스,믹스,Brown,2021.01,0.6,5.0,http://www.animal.go.kr/files/shelter/2021/11/202112011712584.jpg,Y,F,N,"애교많고 장난기 많 귀염둥이 ""제리""",전라북도 정읍시,0,0,5,1,1,Y
알라스칸말라뮤트,알라스칸말라뮤트,"Black, White",2018.01,3.6,30.0,http://www.animal.go.kr/files/shelter/2021/07/202107281707569.jpg,Y,M,N,비교적 한 것으로 사료됨,인천광역시 중구,1,3,30,0,1,Y
믹스,믹스,"Brown, White",2022.01,0.7,1.6,http://www.animal.go.kr/files/shelter/2022/09/202210130810786.jpg,Y,M,N,보고만 있어도 저절로 미소 지어지는 아기 천사 삼형제,경상북도 경주시,0,0,2,0,1,Y
믹스,믹스,"Brown, White",2022.01,0.3,5.0,http://www.animal.go.kr/files/shelter/2022/03/202204041204135.jpg,Y,F,U,귀염증,경기도 성남시,0,0,5,1,2,Y
푸들,푸들,Brown,2013.01,9.7,5.0,http://www.animal.go.kr/files/shelter/2022/09/202209252209946.jpg,Y,F,N,"털짧게 미용됨, 치석많음",인천광역시 계양구,1,9,5,1,1,Y
믹스,믹스,White,2021.01,0.3,5.0,http://www.animal.go.kr/files/shelter/2021/10/20211014211078.jpg,Y,M,N,강쥐들입니다,경상북도 상주시,0,0,5,0,1,Y
믹스,믹스,Spotted,2021.01,0.3,1.0,http://www.animal.go.kr/files/shelter/2021/04/202104261704380.jpg,Y,F,N,태어난지 얼마안됨,전라북도 김제시,0,0,1,1,1,Y
