견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,Black,2022.01,0.2,8.0,http://www.animal.go.kr/files/shelter/2022/03/202203081003202.jpg,Y,F,N,,대구광역시 동구,0,0,8,1,1,Y
치와와,치와와,"Black, White",2022.01,0.9,3.5,http://www.animal.go.kr/files/shelter/2022/11/202211121311792.jpg,Y,F,N,,광주광역시 북구,1,0,4,1,1,Y
말티즈,말티즈,White,2019.01,3.0,3.0,http://www.animal.go.kr/files/shelter/2021/12/202201011301708.jpg,Y,M,N,순하고영리함,전라북도 익산시,1,3,3,0,1,Y
믹스,믹스,"Black, Brown, White",2019.01,2.7,6.3,http://www.animal.go.kr/files/shelter/2021/11/202111211611859.jpg,Y,F,U,"땡이, 목줄노랑리드줄두 착용, 젖이 불어있음",광주광역시 북구,0,2,6,1,2,Y
믹스,믹스,"Black, White",2022.01,0.1,2.5,http://www.animal.go.kr/files/shelter/2022/02/20220221140288.jpg,Y,M,N,공고373 자견 5마리 출산 12월생,경상북도 울진군,0,0,2,0,1,Y
말티즈,말티즈,White,2012.01,10.6,2.8,http://www.animal.go.kr/files/shelter/2022/07/202208041908490.jpg,Y,F,U,,대구광역시 수성구,1,10,3,1,2,Y
믹스,믹스,Beige,2018.01,5.0,22.0,http://www.animal.go.kr/files/shelter/2023/01/202301171801978.jpg,Y,M,N,"온순함, 다리 다침, 산에서 발견",충청북도 음성군,0,5,22,0,1,Y
믹스,믹스,Brown,2021.01,0.4,5.0,http://www.animal.go.kr/files/shelter/2021/06/202106081706476.jpg,Y,F,N,순함 사람 좋아함,경기도 하남시,0,0,5,1,1,Y
믹스,믹스,Brown,2017.01,5.8,4.0,http://www.animal.go.kr/files/shelter/2023/07/202308181408968.jpg,Y,F,U,"갈색, 온순",강원도 춘천시,0,5,4,1,2,Y
믹스,믹스,Brown,2020.01,3.1,13.2,http://www.animal.go.kr/files/shelter/2023/01/202302111202898.jpg,Y,M,N,견주확인되어 반환함,전라남도 순천시,0,3,13,0,1,Y
믹스,믹스,White,2023.01,0.5,6.0,http://www.animal.go.kr/files/shelter/2023/05/202307031107304.jpg,Y,F,N,사람을잘따름,강원도 속초시,0,0,6,1,1,Y
말티즈,말티즈,White,2018.01,4.7,5.0,http://www.animal.go.kr/files/shelter/2022/09/202209271309385.jpg,Y,M,N,사람을 좋아하는 귀여운 말티즈사랑으로 입양해 주세요!!!심장사상충있음,경상남도 사천시,1,4,5,0,1,Y
슈나우져,슈나우져,"Black, White",2014.01,8.4,6.2,http://www.animal.go.kr/files/shelter/2022/05/202205231305671.jpg,Y,F,U,"소유자 사망, 미용되어 있음",부산광역시 해운대구,1,8,6,1,2,Y
믹스,믹스,Brown,2022.01,1.6,11.3,http://www.animal.go.kr/files/shelter/2023/07/202308151008803.jpg,Y,M,N,사람을 잘 따름,경기도 안성시,0,1,11,0,1,Y
믹스,믹스,"Black, Brown",2023.01,0.5,2.0,http://www.animal.go.kr/files/shelter/2023/05/202307181607586.jpg,Y,F,N,"소유주 포기, 털 관리 안 됨",경기도 안산시,0,0,2,1,1,Y
믹스,믹스,Beige,2020.01,3.8,3.7,http://www.animal.go.kr/files/shelter/2023/07/202310212210562.jpg,Y,F,U,"순하나 겁이 많음, 사람을 많이 좋아함",경기도 평택시,0,3,4,1,2,Y
믹스,믹스,Brown,2021.01,0.1,2.22,http://www.animal.go.kr/files/shelter/2021/01/202102221502271.jpg,Y,M,N,"좌안 안구형성부전, 지속적인 관리, 관찰이 필요해",울산광역시 울주군,0,0,2,0,1,Y
