견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,White,2021.01,0.4,2.9,http://www.animal.go.kr/files/shelter/2021/05/202105301605731.jpeg,Y,M,N,화이트컬러에자견들로 건강함,경상북도 상주시,0,0,3,0,1,Y
믹스,믹스,Beige,2019.01,2.5,15.0,http://www.animal.go.kr/files/shelter/2021/05/202106241606886.jpg,Y,F,N,순함 사람 좋아함,경기도 하남시,0,2,15,1,1,Y
믹스,믹스,White,2020.01,2.9,8.0,http://www.animal.go.kr/files/shelter/2022/11/202212011312266.jpg,Y,M,N,순하고 사람을 잘 따름,경기도 평택시,0,2,8,0,1,Y
닥스훈트,닥스훈트,"Black, Brown",2015.01,8.6,2.0,http://www.animal.go.kr/files/shelter/2023/07/202308190908500.jpg,Y,M,Y,"나이에비해 치석도없고 관리가 잘됨, 덩치작편, 애교많고 순함, 귀여움",인천광역시 계양구,1,8,2,0,0,Y
믹스,믹스,"Black, Brown",2018.01,3.5,8.5,http://www.animal.go.kr/files/shelter/2021/05/202106222206465.jpg,Y,F,N,"온순함, 강서구 호",부산광역시 강서구,0,3,8,1,1,Y
믹스,믹스,White,2017.01,4.0,16.0,http://www.animal.go.kr/files/shelter/2020/11/202012181912123.jpg,Y,F,N,목줄없고 온순함,경기도 남양주시,0,4,16,1,1,Y
푸들,푸들,Brown,2017.01,5.9,3.0,http://www.animal.go.kr/files/shelter/2022/11/202212121412686.jpg,Y,F,N,피부병 마을배회,경상남도 합천군,1,5,3,1,1,Y
믹스,믹스,Brown,2020.01,1.0,7.4,http://www.animal.go.kr/files/shelter/2020/11/202101111201453.jpg,Y,M,N,,경기도 평택시,0,1,7,0,1,Y
믹스,믹스,Brown,2023.01,0.1,2.3,http://www.animal.go.kr/files/shelter/2023/01/202302201602513.jpg,Y,F,N,"23, 01, 01출생",충청남도 아산시,0,0,2,1,1,Y
믹스,믹스,"Black, Brown, White",2018.01,4.8,16.0,http://www.animal.go.kr/files/shelter/2022/10/202210221410699[1].jpg,Y,F,U,"양귀쫑긋, 코검정, 만지려하면갑자기돌변, 방어적입질, 가슴쪽만짐가능, 꼬리단미안됨, 털때탐, 칩있음",경기도 양주시,0,4,16,1,2,Y
말티즈,말티즈,White,2018.01,3.9,3.3,http://www.animal.go.kr/files/shelter/2021/11/202111150811885.jpg,Y,M,N,온순함,경상북도 영주시,1,3,3,0,1,Y
시베리안허스키,시베리안허스키,"Brown, White",2021.01,1.5,15.0,http://www.animal.go.kr/files/shelter/2022/06/202206291006153.png,Y,F,U,"온순, 사람에게잘안김, 신고자가남자목소리를들으면위축된다함",충청북도 진천군,1,1,15,1,2,Y
치와와,치와와,"Brown, White",2020.01,1.3,2.3,http://www.animal.go.kr/files/shelter/2021/05/202105061505731.jpg,Y,M,N,"코갈색, 약간겁, 사람따름, 꼬리단미안됨, 털상태, 양슬개골",경기도 양주시,1,1,2,0,1,Y
믹스,믹스,White,2023.01,0.6,1.84,http://www.animal.go.kr/files/shelter/2023/07/202309121609655.jpg,Y,F,N,강아지,경기도 고양시,0,0,2,1,1,Y
믹스,믹스,"Black, Brown",2017.01,4.1,4.9,http://www.animal.go.kr/files/shelter/2021/01/202102241702563.jpg,Y,M,N,심장사상충 양성 온순함,충청북도 제천시,0,4,5,0,1,Y
말티즈,말티즈,White,2018.01,3.6,6.0,http://www.animal.go.kr/files/shelter/2021/08/20210804140809.jpg,Y,M,Y,꼬리미용되어있음,인천광역시 계양구,1,3,6,0,0,Y
믹스,믹스,"Black, Gray",2017.01,5.5,6.0,http://www.animal.go.kr/files/shelter/2022/07/202207181107246.jpg,Y,M,N,관리안돼있음,경상남도 거제시,0,5,6,0,1,Y
믹스,믹스,"Black, Brown, White",2019.01,2.1,17.0,http://www.animal.go.kr/files/shelter/2020/11/202102072202537.jpg,Y,M,N,,충청남도 아산시,0,2,17,0,1,Y
믹스,믹스,White,2021.01,2.0,17.0,http://www.animal.go.kr/files/shelter/2023/01/202303091003682.jpg,Y,M,N,,충청남도 아산시,0,2,17,0,1,Y
믹스,믹스,White,2020.01,2.3,10.0,http://www.animal.go.kr/files/shelter/2022/04/202205021505413.jpg,Y,M,N,"온순, 다리가 짧편, 눈이 크고 초롱, 순딩 만져도 가만히 있음",경상남도 창원시,0,2,10,0,1,Y
믹스,믹스,"Black, Brown",2021.01,0.6,0.6,http://www.animal.go.kr/files/shelter/2021/07/202107281507709.jpg,Y,M,U,온순,충청남도 논산시,0,0,1,0,2,Y
믹스,믹스,"Beige, Black",2023.01,0.8,3.3,http://www.animal.go.kr/files/shelter/2023/07/202310051510335.jpg,Y,F,U,검정황색,경상남도 양산시,0,0,3,1,2,Y
믹스,믹스,"Brown, White",2020.01,1.0,2.0,http://www.animal.go.kr/files/shelter/2020/11/202101041201926.jpg,Y,M,N,449번 새끼,충청북도 충주시,0,1,2,0,1,Y
믹스,믹스,White,2020.01,1.2,6.0,http://www.animal.go.kr/files/shelter/2021/03/202103241703115.jpg,Y,F,N,피부질환,전라북도 남원시,0,1,6,1,1,Y
믹스,믹스,White,2023.01,0.0,1.5,http://www.animal.go.kr/files/shelter/2022/12/202301010701334.jpg,Y,M,N,작고순하며 이쁘게생겼음,전라북도 익산시,0,0,2,0,1,Y
믹스,믹스,White,2021.01,2.4,11.0,http://www.animal.go.kr/files/shelter/2023/05/202306090906573.jpg,Y,F,U,"빨간목줄, 심장사상충, 경계심",제주특별자치도 제주시,0,2,11,1,2,Y
보스턴테리어,보스턴테리어,"Black, White",2021.01,1.7,8.0,http://www.animal.go.kr/files/shelter/2022/09/202209031009236.jpg,Y,M,N,초록색하네스착용,전라북도 군산시,1,1,8,0,1,Y
말티즈,말티즈,Beige,2022.01,1.8,3.0,http://www.animal.go.kr/files/shelter/2023/07/202310101610827.png,Y,M,U,칩 없음,부산광역시 강서구,1,1,3,0,2,Y
아메리칸불리,아메리칸불리,"Black, White",2020.01,1.6,20.0,http://www.animal.go.kr/files/shelter/2021/07/202107241707994.jpg,Y,F,N,칩 내장애견이름:해라,경상남도 창원시,1,1,20,1,1,Y
말티즈,말티즈,"Beige, White",2014.01,8.7,6.1,http://www.animal.go.kr/files/shelter/2022/09/202210041610308.jpg,Y,M,N,"양눈혼탁, 샴푸냄새, 양귀끝꼬리털긺, 꼬리위로말림, 중간꺾임, 양귀, 등갈색털",경기도 양주시,1,8,6,0,1,Y
믹스,믹스,Brown,2018.01,3.3,5.6,http://www.animal.go.kr/files/shelter/2021/04/202104131604982.jpg,Y,F,N,갈색 믹스견,경상북도 울진군,0,3,6,1,1,Y
믹스,믹스,Ivory,2020.01,3.2,12.0,http://www.animal.go.kr/files/shelter/2023/03/202303101503709.jpg,Y,M,N,"구조시 목줄 착용, 경계심 매우 심하여 칩 확인 불가",경상북도 경주시,0,3,12,0,1,Y
믹스,믹스,White,2020.01,1.3,6.0,http://www.animal.go.kr/files/shelter/2021/04/202104301804979.jpg,Y,F,N,"푸른 목줄, 기운없음",충청남도 서천군,0,1,6,1,1,Y
믹스,믹스,White,2022.01,0.5,4.7,http://www.animal.go.kr/files/shelter/2022/05/202206162206826.jpg,Y,M,N,"빌라화단에 오랜시간 묶여있음, 방울달린목줄착용",전라남도 무안군,0,0,5,0,1,Y
믹스,믹스,White,2016.01,5.0,14.0,http://www.animal.go.kr/files/shelter/2020/11/202012211412159.jpg,Y,M,N,"금정, 파란색목줄, 기력저하",부산광역시 해운대구,0,5,14,0,1,Y
삽살개,삽살개,"Beige, Black",2020.01,2.2,14.0,http://www.animal.go.kr/files/shelter/2022/02/202203011603963.jpg,Y,F,U,"청색목줄착용, 활발하고 잘따름",전라남도 무안군,1,2,14,1,2,Y
믹스,믹스,Ivory,2022.01,0.0,5.0,http://www.animal.go.kr/files/shelter/2022/01/202201181701184.png,Y,F,N,사진 참조,전라북도 남원시,0,0,5,1,1,Y
